comuna_index,muni_index,population
1,8,13458
2,8,12853
3,9,23758
4,3,19296
5,3,22363
6,3,17486
7,3,21693
8,3,24159
9,1,64619
10,8,32217
11,2,1351
12,3,22452
13,1,35054
14,5,11047
15,3,32535
16,3,19331
17,3,19871
18,3,10987
19,3,26735
20,3,120728
21,2,9066
22,5,26168
23,1,11208
24,1,323176
25,1,175765
26,1,113773
27,8,85149
28,6,12385
29,6,4794
30,6,16901
31,6,11172
32,6,15846
33,6,5042
34,6,5694
35,6,5724
36,6,13893
37,6,21185
38,6,24005
39,6,2559
40,6,15347
41,10,16071
42,10,25654
43,1,89569
44,8,34907
45,8,24106
46,1,73488
47,1,167209
48,1,135798
49,1,60931
50,1,112411
51,1,39713
52,1,98494
53,1,166617
54,1,65239
55,4,17068
56,4,15032
57,9,11465
58,3,23670
59,1,77588
60,1,65880
61,1,75905
62,7,10310
63,7,5052
64,1,218422
65,1,47820
66,8,36373
